,_id,category,description,source,title
61795c43947ab96c21cb9a85,61795c43947ab96c21cb9a85,general,TOKYO (AP) — Tens of millions of unpopular cloth masks produced as an anti-coronavirus measure under former Japanese Prime Minister Shinzo Abe remain unused and are being kept in a private storage facility at a cost of hundreds of millions of yen (millions of dollars). A government spokesperson says about 83 million of the clothThe post Millions of unused cloth masks remain in storage in Japan appeared first on WBNG.,wbng,Millions of unused cloth masks remain in storage in Japan
61795c43947ab96c21cb9a87,61795c43947ab96c21cb9a87,general,"The reports of hateful and violent posts on Facebook started pouring in on the night of May 28 last year, soon after then-President Donald Trump sent a warning on social media that looters in Minneapolis would be shot.",The Denver Post,America “on fire”: Facebook watched as Trump ignited hate
61795c44947ab96c21cb9a89,61795c44947ab96c21cb9a89,general,"The reports of hateful and violent posts on Facebook started pouring in on the night of May 28 last year, soon after then-President Donald Trump sent a warning on social media that looters in Minneapolis would be shot.",denverpost,America “on fire”: Facebook watched as Trump ignited hate
61795c44947ab96c21cb9a8b,61795c44947ab96c21cb9a8b,general,TOKYO (AP) — Tens of millions of unpopular cloth masks produced as an anti-coronavirus measure under former Japanese Prime Minister Shinzo Abe remain unused and are being kept in a private storage facility at a cost of hundreds of millions of yen (millions of dollars). A government spokesperson says about 83 million of the clothThe post Millions of unused cloth masks remain in storage in Japan appeared first on KTIV.,ktiv,Millions of unused cloth masks remain in storage in Japan
61795c45947ab96c21cb9a8d,61795c45947ab96c21cb9a8d,general,"Louisiana will receive $595 million in federal disaster block grant aid to help with housing restoration and other recovery needs from last year's back-to-back blows of Hurricanes Laura and Delta, the state's two U.S. senators announced Tuesday.",neworleanscitybusiness,"Louisiana to get $595M federal disaster aid for Laura, Delta"
61795c45947ab96c21cb9a8f,61795c45947ab96c21cb9a8f,general,"The application comes just a week after the SEC allowed the first bitcoin futures ETF, the ProShares Bitcoin Strategy ETF, to begin trading.",Post,Bitcoin tumbles amid filing for ETF that would bet against the crypto
61795c46947ab96c21cb9a91,61795c46947ab96c21cb9a91,general,"New Delhi:    The Army Commanders’ Conference, an apex level biannual event, is being held in New Delhi from 25 to 28 October 2021. During the event, Indian Army&#8217;s apex leadership is comprehensively deliberating upon all aspects of existing security scenarios, situation along the borders and in the hinterland and challenges for the present security [&#8230;]",orissadiary,Raksha Mantri addresses the senior leadership of Indian army during army commanders conference
61795c46947ab96c21cb9a93,61795c46947ab96c21cb9a93,business,The lender had reported a standalone profit of Rs 148 crore in the year-ago period.,Zee Business,IOB net profit jumps over two-fold to Rs 376 cr in Q2
61795c47947ab96c21cb9a95,61795c47947ab96c21cb9a95,general,"Most leaders will tell you that they want to hear good news soon and bad news sooner for very good reason—the more lead time you have to address a problem, the higher your likelihood of solving it. Here are three specific techniques for building a team culture of candor.",Leadership,Here’s How The Best Project Managers Build A Candid Team Culture. You Can Too.
61795c47947ab96c21cb9a97,61795c47947ab96c21cb9a97,general,A 21-year-old Seamstress has allegedly been murdered by some unknown assailants at Achinakrom in the Ejisu Municipality of the Ashanti Region. The girl was believed to have died about three days ago body was found decomposed.,modernghana,Ejisu: 21-year-old girl murdered with intestines gushed out at Achinakrom
61795c48947ab96c21cb9a99,61795c48947ab96c21cb9a99,general,"Commissioner Roger Goodell&#8217;s Tuesday press conference included several (but given the nature and length of the session not nearly enough) questions about the Washington Football Team investigation. Here&#8217;s one of the questions he fielded: &#8220;Has Dan Snyder been held accountable adequately in your opinion and is there more to be done there?&#8221; Said Goodell, in [more]",profootballtalk,"Daniel Snyder’s fine, “suspension” reconfirm that owners don’t suffer the same consequences as others"
61795c48947ab96c21cb9a9b,61795c48947ab96c21cb9a9b,general,THE Chancellor today confirmed plans to cut the tax surcharge on banks from 8% to 3%.,thisislondon,Budget 2021: Shares in Barclays hit as Sunak makes move on bank tax rates
61795c49947ab96c21cb9a9d,61795c49947ab96c21cb9a9d,general,Mondi plc (LON:MNDI) Given Average Recommendation of &#8220;Buy&#8221; by Brokerages,americanbankingnews,Mondi plc (LON:MNDI) Given Average Recommendation of &#8220;Buy&#8221; by Brokerages
61795c49947ab96c21cb9a9f,61795c49947ab96c21cb9a9f,business,Nearly 200 IMF Staffers Urge Georgieva to Explain Softening of Brazil Climate Language,Bloomberg | Latest And Live Business,Nearly 200 IMF Staffers Urge Georgieva to Explain Softening of Brazil Climate Language
61795c4a947ab96c21cb9aa1,61795c4a947ab96c21cb9aa1,general,Render Token (RNDR) Reaches 1-Day Trading Volume of $6.67 Million,americanbankingnews,Render Token (RNDR) Reaches 1-Day Trading Volume of $6.67 Million
61795c4a947ab96c21cb9aa3,61795c4a947ab96c21cb9aa3,general,Freeway Token Market Cap Hits $33.25 Million (FWT),americanbankingnews,Freeway Token Market Cap Hits $33.25 Million (FWT)
61795c4b947ab96c21cb9aa5,61795c4b947ab96c21cb9aa5,general,Atos SE (OTCMKTS:AEXAY) Given Average Recommendation of &#8220;Hold&#8221; by Analysts,americanbankingnews,Atos SE (OTCMKTS:AEXAY) Given Average Recommendation of &#8220;Hold&#8221; by Analysts
61795c4b947ab96c21cb9aa7,61795c4b947ab96c21cb9aa7,general,Brookfield Asset Management Inc (TSE:BAM.A) Receives Average Rating of &#8220;Buy&#8221; from Brokerages,americanbankingnews,Brookfield Asset Management Inc (TSE:BAM.A) Receives Average Rating of &#8220;Buy&#8221; from Brokerages
61795c4c947ab96c21cb9aa9,61795c4c947ab96c21cb9aa9,general,Dream Industrial Real Estate Invest Trst (TSE:DIR.UN) Receives Consensus Recommendation of &#8220;Buy&#8221; from Analysts,americanbankingnews,Dream Industrial Real Estate Invest Trst (TSE:DIR.UN) Receives Consensus Recommendation of &#8220;Buy&#8221; from Analysts
61795c4c947ab96c21cb9aab,61795c4c947ab96c21cb9aab,general,Shaw Communications Inc (TSE:SJR.B) Given Consensus Rating of &#8220;Buy&#8221; by Analysts,americanbankingnews,Shaw Communications Inc (TSE:SJR.B) Given Consensus Rating of &#8220;Buy&#8221; by Analysts
61795c4d947ab96c21cb9aad,61795c4d947ab96c21cb9aad,general,Innovative Bioresearch Coin Trading Down 18.4% This Week (INNBC),americanbankingnews,Innovative Bioresearch Coin Trading Down 18.4% This Week (INNBC)
61795c4d947ab96c21cb9aaf,61795c4d947ab96c21cb9aaf,general,Persistence Price Up 10.9% Over Last 7 Days (XPRT),americanbankingnews,Persistence Price Up 10.9% Over Last 7 Days (XPRT)
61795c4e947ab96c21cb9ab1,61795c4e947ab96c21cb9ab1,general,Mettalex Price Hits $2.06 on Major Exchanges (MTLX),americanbankingnews,Mettalex Price Hits $2.06 on Major Exchanges (MTLX)
61795c4e947ab96c21cb9ab3,61795c4e947ab96c21cb9ab3,general,Enzyme (MLN) Price Reaches $134.63 on Major Exchanges,americanbankingnews,Enzyme (MLN) Price Reaches $134.63 on Major Exchanges
61795c4f947ab96c21cb9ab5,61795c4f947ab96c21cb9ab5,general,Trinity Network Credit Trading Up 5.3% This Week (TNC),americanbankingnews,Trinity Network Credit Trading Up 5.3% This Week (TNC)
61795c4f947ab96c21cb9ab7,61795c4f947ab96c21cb9ab7,general,ChatCoin Price Reaches $0.0021 (CHAT),americanbankingnews,ChatCoin Price Reaches $0.0021 (CHAT)
61795c50947ab96c21cb9ab9,61795c50947ab96c21cb9ab9,general,Vor Biopharma Inc. (NYSE:VOR) Receives Consensus Rating of &#8220;Buy&#8221; from Brokerages,americanbankingnews,Vor Biopharma Inc. (NYSE:VOR) Receives Consensus Rating of &#8220;Buy&#8221; from Brokerages
61795c50947ab96c21cb9abb,61795c50947ab96c21cb9abb,general,PowerPool Price Down 11.9% Over Last 7 Days (CVP),americanbankingnews,PowerPool Price Down 11.9% Over Last 7 Days (CVP)
61795c51947ab96c21cb9abd,61795c51947ab96c21cb9abd,general,Neutrino USD Reaches One Day Volume of $13.50 Million (USDN),americanbankingnews,Neutrino USD Reaches One Day Volume of $13.50 Million (USDN)
61795c51947ab96c21cb9abf,61795c51947ab96c21cb9abf,general,ZBG Token Price Down 7.8% Over Last Week (ZT),americanbankingnews,ZBG Token Price Down 7.8% Over Last Week (ZT)
61795c52947ab96c21cb9ac1,61795c52947ab96c21cb9ac1,general,CoinFi Trading 104.2% Higher This Week (COFI),americanbankingnews,CoinFi Trading 104.2% Higher This Week (COFI)
61795c52947ab96c21cb9ac3,61795c52947ab96c21cb9ac3,general,Bridge Oracle (BRG) Price Hits $0.0006 on Exchanges,americanbankingnews,Bridge Oracle (BRG) Price Hits $0.0006 on Exchanges
61795c53947ab96c21cb9ac5,61795c53947ab96c21cb9ac5,general,Zymergen (ZY) Set to Announce Earnings on Wednesday,americanbankingnews,Zymergen (ZY) Set to Announce Earnings on Wednesday
61795c53947ab96c21cb9ac7,61795c53947ab96c21cb9ac7,general,"FY2023 EPS Estimates for Take-Two Interactive Software, Inc. (NASDAQ:TTWO) Reduced by Analyst",americanbankingnews,"FY2023 EPS Estimates for Take-Two Interactive Software, Inc. (NASDAQ:TTWO) Reduced by Analyst"
61795c54947ab96c21cb9ac9,61795c54947ab96c21cb9ac9,general,PPG Industries (NYSE:PPG) Releases FY 2021 Earnings Guidance,americanbankingnews,PPG Industries (NYSE:PPG) Releases FY 2021 Earnings Guidance
61795c54947ab96c21cb9acb,61795c54947ab96c21cb9acb,general,"Wedbush Research Analysts Boost Earnings Estimates for Facebook, Inc. (NASDAQ:FB)",americanbankingnews,"Wedbush Research Analysts Boost Earnings Estimates for Facebook, Inc. (NASDAQ:FB)"
61795c55947ab96c21cb9acd,61795c55947ab96c21cb9acd,general,Amphenol (NYSE:APH) Updates Q4 Earnings Guidance,americanbankingnews,Amphenol (NYSE:APH) Updates Q4 Earnings Guidance
